course_id,course_code,course_name,credits_need,grade,Option 1,Option 2,Option 3,Option 4,Option 5,Option 6,Option 7,Option 8,Option 9,Option 10,Option 11,Option 12,Option 13,Option 14,Option 15,Option 16,Option 17,Option 18,Option 19,Option 20,Option 21,Option 22,Option 23,Must have Option 1,Except 1
1.0,MATH 161,Calculus I,8,C,MATH 161,,,,,,,,,,,,,,,,,,,,,,,,
2.0,ENG 100,Introduction to Engineering,6,D,ENG 100,,,,,,,,,,,,,,,,,,,,,,,,
3.0,ENG 101,Programming for Engineers,6,C-,ENG 101,,,,,,,,,,,,,,,,,,,,,,,,
4.0,PHYS 161,Physics I for Scientists and Engineers,8,C-,PHYS 161,,,,,,,,,,,,,,,,,,,,,,,,
5.0,WCS 150,Rhetoric and Composition,6,C-,WCS 150,,,,,,,,,,,,,,,,,,,,,,,,
6.0,HST 100,History of Kazakhstan,6,D,HST 100,,,,,,,,,,,,,,,,,,,,,,,,
7.0,MATH 162,Calculus II,8,C,MATH 162,,,,,,,,,,,,,,,,,,,,,,,,
8.0,PHYS 162,Physics II for Scientists and Engineers,8,D,PHYS 162,,,,,,,,,,,,,,,,,,,,,,,,
9.0,ENG 103,Engineering Materials II,6,D,ENG 103,,,,,,,,,,,,,,,,,,,,,,,,
10.0,Kazakh language I,Kazakh language I,6,C-,KAZ XXX,KFL 102,KFL 201,KFL 202,,,,,,,,,,,,,,,,,,,,,KAZ 150
11.0,Kazakh language II,Kazakh language II,6,D,KAZ XXX,KFL 102,KFL 201,KFL 202,,,,,,,,,,,,,,,,,,,,,KAZ 150
12.0,WCS 210,Technical and Professional Writing,6,D,WCS 210,,,,,,,,,,,,,,,,,,,,,,,,
13.0,ENG 200,Differntial Equations and Linear Algebra,6,D,ENG 200,,,,,,,,,,,,,,,,,,,,,,,,
14.0,PHIL 210,Ethics,6,D,PHIL 210,,,,,,,,,,,,,,,,,,,,,,,,
15.0,CHME 200,Basic Principles and Calculations in Chemical Engineering,6,D,CHME 200,,,,,,,,,,,,,,,,,,,,,,,,
16.0,CHME 201,Chemical Engineering Thermodynamics,6,D,CHME 201,,,,,,,,,,,,,,,,,,,,,,,,
17.0,CHME 202,Fluid Mechanics,6,D,CHME 202,,,,,,,,,,,,,,,,,,,,,,,,
18.0,ENG 201,Applied Probability and Statistics,6,C-,ENG 201,,,,,,,,,,,,,,,,,,,,,,,,
19.0,CHME 203,Organic and Polymer Chemistry,6,D,CHME 203,,,,,,,,,,,,,,,,,,,,,,,,
20.0,CHME 222,Inorganic and Analytical Chemistry,6,D,CHME 222,,,,,,,,,,,,,,,,,,,,,,,,
21.0,ENG 202,Numberical Methods in Enginering,6,D,ENG 202,,,,,,,,,,,,,,,,,,,,,,,,
22.0,CHME 300,Heat and Mass Transfer,6,D,CHME 300,,,,,,,,,,,,,,,,,,,,,,,,
23.0,CHME 301,Applied Mathematics for Process Design,6,D,CHME 301,,,,,,,,,,,,,,,,,,,,,,,,
24.0,CHME 302,Instrumental Methods of Analysis for Engineers,6,D,CHME 302,,,,,,,,,,,,,,,,,,,,,,,,
25.0,CHME 303,Separation Processes,6,D,CHME 303,,,,,,,,,,,,,,,,,,,,,,,,
26.0,CHME 304,Chemical Reaction Engineering,6,D,CHME 304,,,,,,,,,,,,,,,,,,,,,,,,
27.0,BUS 101,Business Course,6,D,BUS 101,,,,,,,,,,,,,,,,,,,,,,,,
28.0,ECON 120,Marginal Eoonomics,6,D,ECON 120,,,,,,,,,,,,,,,,,,,,,,,,
29.0,CHME 305,Chemical Engineering Lab 1,6,D,CHME 305,,,,,,,,,,,,,,,,,,,,,,,,
30.0,CHME 352,Research Practice,6,B,CHME 352,,,,,,,,,,,,,,,,,,,,,,,,
31.0,ENG 400,Capstone Project,6,C-,ENG 400,,,,,,,,,,,,,,,,,,,,,,,,
32.0,ENG 400,Capstone Project,6,C-,ENG 400,,,,,,,,,,,,,,,,,,,,,,,,
33.0,CHME 400,Process Design and Simulation,6,D,CHME 400,,,,,,,,,,,,,,,,,,,,,,,,
34.0,CHME 401,Chemical Engineering Lab 2,6,D,CHME 401,,,,,,,,,,,,,,,,,,,,,,,,
35.0,CHME 402,Materials Chemistry,6,D,CHME 402,,,,,,,,,,,,,,,,,,,,,,,,
36.0,CHME 403,Chemical Process Control and Safety,6,D,CHME 403,,,,,,,,,,,,,,,,,,,,,,,,
37.0,CHME XXX,CHME elective 1,6,D,CHME 450,CHME 451,CHME 351,CHME 352,CHME 452,CHME 453,CHME 454,CHME 455,CHME 456,CHME 457,CHME 458,CHME 459,CHME 460,CHME 461,CHME 353,CHME 421,CHME 354,,,,,,,,
38.0,CHME XXX,CHME elective 2,6,D,CHME 450,CHME 451,CHME 351,CHME 352,CHME 452,CHME 453,CHME 454,CHME 455,CHME 456,CHME 457,CHME 458,CHME 459,CHME 460,CHME 461,CHME 353,CHME 421,CHME 354,,,,,,,,
39.0,CHME XXX,CHME elective 3,6,D,CHME 450,CHME 451,CHME 351,CHME 352,CHME 452,CHME 453,CHME 454,CHME 455,CHME 456,CHME 457,CHME 458,CHME 459,CHME 460,CHME 461,CHME 353,CHME 421,CHME 354,,,,,,,,
40.0,CHME XXX,CHME elective 4,6,D,CHME 450,CHME 451,CHME 351,CHME 352,CHME 452,CHME 453,CHME 454,CHME 455,CHME 456,CHME 457,CHME 458,CHME 459,CHME 460,CHME 461,CHME 353,CHME 421,CHME 354,,,,,,,,
,,,248,,,,,,,,,,,,,,,,,,,,,,,,,,
