course_id,course_code,course_name,credits_need,grade,Option 1,Option 2,Option 3,Option 4,Option 5,Option 6,Option 7,Option 8,Option 9,Must have Option 1,Except 1,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
1.0,MATH 161,Calculus I,8,C,MATH 161,,,,,,,,,,,,,,,,,,,,,,,,
2.0,SMG 100,Introduction to Natural Resources Extraction,6,D,SMG 100,,,,,,,,,,,,,,,,,,,,,,,,
3.0,ENG 101,Programming for Engineers,6,D,ENG 101,,,,,,,,,,,,,,,,,,,,,,,,
4.0,PHYS 161,Physics I for Scientists and Engineers,8,C-,PHYS 161,,,,,,,,,,,,,,,,,,,,,,,,
5.0,WCS 150,Rhetoric and Composition,6,C-,WCS 150,,,,,,,,,,,,,,,,,,,,,,,,
6.0,HST 100,History of Kazakhstan,6,D,HST 100,,,,,,,,,,,,,,,,,,,,,,,,
7.0,MATH 162,Calculus II,8,C,MATH 162,,,,,,,,,,,,,,,,,,,,,,,,
8.0,PHYS 162,Physics II for Scientists and Engineers,8,C-,PHYS 162,,,,,,,,,,,,,,,,,,,,,,,,
9.0,CHEM 101,General Chemistry I,6,C,CHEM 101,,,,,,,,,,,,,,,,,,,,,,,,
10.0,Kazakh Language I,Core Kazakh language requirments,6,C-,KAZ XXX,KFL 102,KFL 201,KFL 202,,,,,,,KAZ 150,,,,,,,,,,,,,,KAZ 150
11.0,Kazakh Language II,Core Kazakh language requirments,6,D,KAZ XXX,KFL 102,KFL 201,KFL 202,,,,,,,KAZ 150,,,,,,,,,,,,,,KAZ 150
12.0,WCS 210,Technical and Professional Writing,6,D,WCS 210,,,,,,,,,,,,,,,,,,,,,,,,
13.0,CHEM 101L,General Chemistry I Lab,2,C,CHEM 101L,,,,,,,,,,,,,,,,,,,,,,,,
14.0,PHIL 210,Ethics,6,D,PHIL 210,,,,,,,,,,,,,,,,,,,,,,,,
15.0,BUS 101,Business Course,6,D,BUS 101,,,,,,,,,,,,,,,,,,,,,,,,
16.0,GEOL 101,Fundamentals of Geology,6,D,GEOL 101,,,,,,,,,,,,,,,,,,,,,,,,
17.0,ENG 200,Differntial Equations and Linear Algebra,6,D,ENG 200,,,,,,,,,,,,,,,,,,,,,,,,
18.0,ROBT 201,Mechanics: Statics and Dynamics,6,D,ROBT 201,,,,,,,,,,,,,,,,,,,,,,,,
19.0,PETE 201,Fluid Mechanics and Thermodynamics,6,D,PETE 201,,,,,,,,,,,,,,,,,,,,,,,,
20.0,SMG 210,Strength of Materials,6,D,SMG 210,,,,,,,,,,,,,,,,,,,,,,,,
21.0,MATH 310,Applied Statistical Methods,6,D,MATH 310,,,,,,,,,,,,,,,,,,,,,,,,
22.0,MINE 200,Minerals Processing,6,D,MINE 200,,,,,,,,,,,,,,,,,,,,,,,,
23.0,GEOL 201,Mineralogy and Petrology,6,D,GEOL 201,,,,,,,,,,,,,,,,,,,,,,,,
24.0,GEOL 305,Geology of Ore Deposits,6,D,GEOL 305,,,,,,,,,,,,,,,,,,,,,,,,
25.0,SMG 200,Resource Economics and Project Valuation,6,D,SMG 200,,,,,,,,,,,,,,,,,,,,,,,,
26.0,MINE 301,Mine Surveying and GIS,6,D,MINE 301,,,,,,,,,,,,,,,,,,,,,,,,
27.0,MINE 302,Fundamentals of Geomechanics,6,D,MINE 302,,,,,,,,,,,,,,,,,,,,,,,,
28.0,MINE 303,Mine Services and Materials Handling,6,D,MINE 303,,,,,,,,,,,,,,,,,,,,,,,,
29.0,MINE 304,Resource Estimation,6,D,MINE 304,,,,,,,,,,,,,,,,,,,,,,,,
30.0,MINE 305,Rock Breakage,6,D,MINE 305,,,,,,,,,,,,,,,,,,,,,,,,
31.0,MINE 306,Underground Mining Systems and Design,6,C-,MINE 306,,,,,,,,,,,,,,,,,,,,,,,,
32.0,MINE 307,Surface Mining Systems and Design,6,C-,MINE 307,,,,,,,,,,,,,,,,,,,,,,,,
33.0,MINE 401,Mining Geotechnical Engineering,6,D,MINE 401,,,,,,,,,,,,,,,,,,,,,,,,
34.0,MINE 402,Mine Planning,6,D,MINE 402,,,,,,,,,,,,,,,,,,,,,,,,
35.0,MINE 403,Coal Mining,6,D,MINE 403,,,,,,,,,,,,,,,,,,,,,,,,
36.0,MINE 404,"Health, Safety and Sustainability in Mining",6,D,MINE 404,,,,,,,,,,,,,,,,,,,,,,,,
37.0,MINE 405,Mine Ventilation,6,D,MINE 405,,,,,,,,,,,,,,,,,,,,,,,,
38.0,MINE 489,Mine Design Project I,6,D,MINE 489,,,,,,,,,,,,,,,,,,,,,,,,
39.0,MINE 490,Mine Design Project II,6,D,MINE 490,,,,,,,,,,,,,,,,,,,,,,,,
40.0,MINE XXX or SMG 100,Mining Engineering Technical Electives,12,D,SMG 400,MINE 406,MINE 407,MINE 408,MINE 411,MINE 412,MINE 413,,,,,,,,,,,,,,,,,,
,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,
