course_id,course_code,course_name,credits_need,grade,Option 1,Option 2,Option 3,Option 4,Option 5,Option 6,Option 7,Option 8,Must have Option 1,Except 1,Except 2,Except 3
1,Elementary Course,"ECON 101, 102 and 211",18,B-,"ECON 101, ECON 102, ECON 211",,,,,,,,,HST 100,,
3,Intermediate Courses,"ECON 201, 202 and 301",18,C-,"ECON 201, ECON 202, ECON 301",,,,,,,,,,,
4,Advanced Economics Electives,Three ECON 4XX,18,C-,ECON 4XX,,,,,,,,,,ECON 300,ECON 400
8,General ECON elective,Four ECON 3XX,24,C-,ECON 3XX,,,,,,,,,HST 100,ECON 300,ECON 400
9,Ethics,"PHIL 210, 211 or 212",6,D,PHIL 210,PHIL 211,PHIL 212,,,,,,,,,
10,HST 100,History of Kazakhstan,6,D,HST 100,,,,,,,,,,,
11,WCS 150,Writing and Communication I,6,C-,WCS 150,,,,,,,,,,,
12,WCS 2XX,Writing and Communication Core,6,D,WCS 200,WCS 210,WCS 220,WCS 230,WCS 240,WCS 250,WCS 260/WLL 235,WCS 270,,,,
13,Kazakh Language I,Core Kazakh language requirments,6,C-,KAZ XXX,KFL 102,KFL 201,KFL 202,,,,,,KAZ 150,,
14,Kazakh Language II,Core Kazakh language requirments,6,C-,KAZ XXX,KFL 102,KFL 201,KFL 202,,,,,,KAZ 150,,
15,Computer Science,Any CSCI course,6,D,CSCI XXX,,,,,,,,,,,
16,BUS 101,Business Course,6,D,BUS 101,,,,,,,,,,,
17,MATH 161,Calculus I,8,B-,MATH 161,,,,,,,,,,,
18,Natural science elective,"Any BIOL, CHEM, PHYS, GEOL",6,D,BIOL XXX,CHEM XXX,PHYS XXX,GEOL XXX,,,,,,,,
19,Humanities electives,,24,D,HUMELECTIVE,HUMSOCELECTIVE,,,,,,,,ECON XXX,,
20,Social science elective,,18,D,SOCELECTIVE,HUMSOCELECTIVE,,,,,,,,ECON XXX,,
21,ANY XXX,General elective,58,D,ANY XXX,,,,,,,,,,,
,,,240,,,,,,,,,,,,,
