course_id,course_code,course_name,credits_need,grade,Option 1,Option 2,Option 3,Option 4,Option 5,Must have Option 1,Except 1
1.0,MATH 161,Calculus I,8,C,MATH 161,,,,,,
2.0,ENG 100,Introduction to Engineering,6,D,ENG 100,,,,,,
3.0,ENG 101,Programming for Engineers,6,C-,ENG 101,,,,,,
4.0,PHYS 161,Physics I for Scientists and Engineers,8,C-,PHYS 161,,,,,,
5.0,WCS 150,Rhetoric and Composition,6,C-,WCS 150,,,,,,
6.0,HST 100,History of Kazakhstan,6,D,HST 100,,,,,,
7.0,MATH 162,Calculus II,8,C,MATH 162,,,,,,
8.0,PHYS 162,Physics II for Scientists and Engineers,8,C-,PHYS 162,,,,,,
9.0,ENG 103,Engineering Materials II,6,C-,ENG 103,,,,,,
10.0,KAZ XXX,Kazakh Language,6,C-,KAZ XXX,KFL 102,KFL 201,KFL 202,,,KAZ 150
11.0,KAZ XXX,Kazakh Language,6,D,KAZ XXX,KFL 102,KFL 201,KFL 202,,,KAZ 150
12.0,WCS 210,Technical and Professional Writing,6,D,WCS 210,,,,,,
13.0,ENG 200,Differntial Equations and Linear Algebra,6,C-,ENG 200,,,,,,
14.0,Ethics,"PHIL 210, 211 or 212",6,C-,PHIL 210,PHIL 211,PHIL 212,,,,
15.0,ELCE 200,Curcuit Theory I,6,C-,ELCE 200,,,,,,
16.0,ELCE 203,Signals and Systems,6,C-,ELCE 203,,,,,,
17.0,ELCE 203L,Signals and Systems Laboratory,2,C-,ELCE 203L,,,,,,
18.0,ENG 201,Applied Probability and Statistics,6,C-,ENG 201,,,,,,
19.0,Discrete Mathematics,ELCE 205 or MATH 251,6,D,ELCE 205,MATH 251,,,,,
20.0,ELCE 201,Curcuit Theory II,6,C-,ELCE 201,,,,,,
21.0,ELCE 201L,Curcuit Theory Lab,2,C-,ELCE 201L,,,,,,
22.0,ELCE 202,Digital Logic Design,6,C-,ELCE 202,,,,,,
23.0,ELCE 202L,Digital Logic Design Lab,2,C-,ELCE 202L,,,,,,
24.0,ELCE 301,Electronic Curcuits,6,C-,ELCE 301,,,,,,
25.0,ELCE 301L,Electronic Curcuits Laboratory ,2,C-,ELCE 301L,,,,,,
26.0,BUS 101,Business Course,6,D,BUS 101,,,,,,
27.0,ELCE 204/ELCE 304,Solid State Devices or Computer Networks,6,C-,ELCE 204,ELCE 304,,,,,
28.0,ELCE 306/ELCE 307,Linear Control Theory or Digital Signal Processing,6,C-,CEE 306,,,,,,
29.0,ELCE 300,Microprocessor Systems,6,C-,ENG 400,,,,,,
30.0,ELCE 300L,Microprocessor Systems Laboratory,2,C-,ENG 400,,,,,,
31.0,ELCE 311/ELCE 309,Interdisciplinary Design Project or Independent Study,6,C-,ELCE 311,ELCE 309,,,,,
32.0,ELCE 310L,Electronics Intumentation and Measurements,2,C-,ELCE 310L,,,,,,
33.0,ELCE 303/ELCE 308,Power System Analysis or Communication Systems,6,C-,ELCE 303,ELCE 308,,,,,
34.0,ELCE 302/ELCE 305/ELCE 350,Electric Machines or Data Structures and Algorithms or Electromagnetics,6,C-,ELCE 302,ELCE 305,ELCE 350,,,,
35.0,ENG 400,Capstone Project,6,D,ENG 400,,,,,,
36.0,ENG 400,Capstone Project,6,D,ENG 400,,,,,,
37.0,ECE specialization Laboratories,Any ELCE lab courses or ELCE elective,6,C-,ELCE XXXL,ELCE 3XX,ELCE 4XX,,,,
38.0,ELCE Elective 1,ELCE Elective 1,6,D,ELCE 3XX,ELCE 4XX,,,,,
39.0,ELCE Elective 2,ELCE Elective 2,6,D,ELCE 3XX,ELCE 4XX,,,,,
40.0,ELCE Elective 3,ELCE Elective 3,6,D,ELCE 3XX,ELCE 4XX,,,,,
41.0,ELCE Elective 4,ELCE Elective 4,6,D,ELCE 3XX,ELCE 4XX,,,,,
42.0,ELCE Elective 5,ELCE Elective 5,6,D,ELCE 3XX,ELCE 4XX,,,,,
43.0,Natural Science Elective,"Any BIOL, CHEM, PHYS and GEOL",6,D,BIOL XXX,CHEM XXX,PHYS XXX,GEOL XXX,,,
44.0,Social Science Elective,,6,D,SOCELECTIVE,HUMSOCELECTIVE,,,,,
,,,248,,,,,,,,
