course_id,course_code,course_name,credits_need,grade,Option 1,Option 2,Option 3,Option 4,Option 5,Option 6,Option 7,Option 8,Option 9,Option 10,Option 11,Option 12,Option 13,Option 14,Option 15,Option 16,Option 17,Unnamed: 22,Unnamed: 23,Must have Option 1,Except 1,Except 2,Except 3
1.0,MATH 161,Calculus I,8,C,MATH 161,,,,,,,,,,,,,,,,,,,,,,
2.0,PHYS 161,Physics for Scientists and Engineers I with Lab,8,C-,PHYS 161,,,,,,,,,,,,,,,,,,,,,,
3.0,CSCI 151,Programming for Scientists and Engineers,8,C-,CSCI 151,,,,,,,,,,,,,,,,,,,,,,
4.0,WCS 150,Rhetoric and Composition,6,C-,WCS 150,,,,,,,,,,,,,,,,,,,,,,
5.0,MATH 162,Calculus II,8,C,MATH 162,,,,,,,,,,,,,,,,,,,,,,
6.0,PHYS 162,Physics for Scientists and Engineers II with Lab,8,D,PHYS 162,,,,,,,,,,,,,,,,,,,,,,
7.0,CSCI 152,Performance and Data Structures,8,C-,CSCI 152,,,,,,,,,,,,,,,,,,,,,,
8.0,HST 100,History of Kazakhstan,6,D,HST 100,,,,,,,,,,,,,,,,,,,,,,
9.0,CSCI 231,Computer Systems & Organization,6,D,CSCI 231,,,,,,,,,,,,,,,,,,,,,,
10.0,CSCI 235,Programming Languages,8,D,CSCI 235,,,,,,,,,,,,,,,,,,,,,,
11.0,MATH 273,Linear Algebra with Applications,8,D,MATH 273,,,,,,,,,,,,,,,,,,,,,,
12.0,MATH 251,Discrete Mathematics,6,D,MATH 251,,,,,,,,,,,,,,,,,,,,,,
13.0,WCS 2XX,Writing and Communication core course,6,D,WCS 200,WCS 210,WCS 220,WCS 230,WCS 240,WCS 250,WCS 260/WLL 235,WCS 270,,,,,,,,,,,,,,,
14.0,CSCI 272,Formal Languages,6,D,CSCI 272,,,,,,,,,,,,,,,,,,,,,,
15.0,CSCI 270,Algorithms,6,D,CSCI 270,,,,,,,,,,,,,,,,,,,,,,
16.0,ROBT 206,Microcontrollers with Lab,8,D,ROBT 206,,,,,,,,,,,,,,,,,,,,,,
17.0,MATH 321,Probability,6,D,MATH 321,,,,,,,,,,,,,,,,,,,,,,
18.0,Kazakh Language I,Core Kazakh language requirments,6,C-,KAZ XXX,KFL 102,KFL 201,KFL 202,,,,,,,,,,,,,,,,,KAZ 150,,
23.0,Kazakh Language II,Core Kazakh language requirments,6,D,KAZ XXX,KFL 102,KFL 201,KFL 202,,,,,,,,,,,,,,,,,KAZ 150,,
19.0,CSCI 390,Artificial Intelligence,6,D,CSCI 390,,,,,,,,,,,,,,,,,,,,,,
20.0,CSCI 341,Database Systems,6,D,CSCI 341,,,,,,,,,,,,,,,,,,,,,,
21.0,CSCI 361,Software Engineering,6,D,CSCI 361,,,,,,,,,,,,,,,,,,,,,,
24.0,CSCI 333,Computer Networks,6,D,CSCI 333,,,,,,,,,,,,,,,,,,,,,,
25.0,CSCI 332,Operating Systems,6,D,CSCI 332,,,,,,,,,,,,,,,,,,,,,,
26.0,CSCI 307,Research Methods,6,D,CSCI 307,,,,,,,,,,,,,,,,,,,,,,
28.0,BUS 101,Core Course in Business,6,D,BUS 101,,,,,,,,,,,,,,,,,,,,,,
29.0,CSCI 408,Senior Project I,6,C-,CSCI 408,,,,,,,,,,,,,,,,,,,,,,
34.0,CSCI 409,Senior Project II,6,D,CSCI 409,,,,,,,,,,,,,,,,,,,,,,
37.0,PHIL 210,Ethics (PHIL 210),6,D,PHIL 210,,,,,,,,,,,,,,,,,,,,,,
30.0,Technical Elective 1,Technical Elective,6,D,CSCI 2XX,MATH 351,MATH 407,MATH 417,PHYS 270,ROBT 205,ROBT 305,ROBT 310,ROBT 407,ROBT 414,ELCE 202,ELCE 203,ELCE 307,ELCE 308,ELCE 461,ELCE 462,ELCE 465,CSCI 4XX,CSCI 3XX,,,,
31.0,Technical Elective 2,Technical Elective,6,D,CSCI 2XX,MATH 351,MATH 407,MATH 417,PHYS 270,ROBT 205,ROBT 305,ROBT 310,ROBT 407,ROBT 414,ELCE 202,ELCE 203,ELCE 307,ELCE 308,ELCE 461,ELCE 462,ELCE 465,CSCI 4XX,CSCI 3XX,,,,
35.0,Technical Elective 3,Technical Elective,6,D,CSCI 2XX,MATH 351,MATH 407,MATH 417,PHYS 270,ROBT 205,ROBT 305,ROBT 310,ROBT 407,ROBT 414,ELCE 202,ELCE 203,ELCE 307,ELCE 308,ELCE 461,ELCE 462,ELCE 465,CSCI 4XX,CSCI 3XX,,,,
36.0,Technical Elective 4,Technical Elective,6,D,CSCI 2XX,MATH 351,MATH 407,MATH 417,PHYS 270,ROBT 205,ROBT 305,ROBT 310,ROBT 407,ROBT 414,ELCE 202,ELCE 203,ELCE 307,ELCE 308,ELCE 461,ELCE 462,ELCE 465,CSCI 4XX,CSCI 3XX,,,,
22.0,Natural science elective 1,"Any BIOL, CHEM, PHYS and GEOL",6,D,BIOL XXX,CHEM XXX,PHYS XXX,GEOL XXX,,,,,,,,,,,,,,,,,CHEM 092,CHEM 090,
27.0,Natural science elective 2,"Any BIOL, CHEM, PHYS and GEOL",6,D,BIOL XXX,CHEM XXX,PHYS XXX,GEOL XXX,,,,,,,,,,,,,,,,,CHEM 092,CHEM 090,
33.0,Social Science Elective,,6,D,SOCELECTIVE,HUMSOCELECTIVE,,,,,,,,,,,,,,,,,,,,,
32.0,Open elective ,Any course outside program,6,D,ANY XXX,,,,,,,,,,,,,,,,,,,,,,
,,,240,,,,,,,,,,,,,,,,,,,,,,,,
