"course_id","course_code","course_name","credits_need","grade","Option 1","Option 2","Option 3","Option 4","Option 5","Option 6","Option 7","Option 8","Must have Option 1","Must have grade 1","Must have Option 2","Must have Option 3","Must have Option 4","Except 1"
"1","Elementary Course","MATH 161, ECON 101, ECON 201","20","B-","MATH 161, ECON 101, ECON 201","","","","","","","","","","","","",""
"2","Statistics/Probability","ECON 211","6","B-","ECON 211","","","","","","","","","","","","",""
"3","Economics electives","","12","C-","ECON 320","ECON 326","ECON 337","ECON 414","ECON 418","","","","ECON 3XX/ECON 4XX","B+","","","",""
"5","Mathematics electives","","18","C-","MATH 323","MATH 423","MATH 424","MATH 425","MATH 455","","","","","","","","",""
"4","","","","","","","","","","","","","","","","","",""
"6","","","","","","","","","","","","","","","","","",""
"7","","","","","","","","","","","","","","","","","",""
"8","","","","","","","","","","","","","","","","","",""
"9","","","","","","","","","","","","","","","","","",""
"10","","","","","","","","","","","","","","","","","",""
"11","","","","","","","","","","","","","","","","","",""
"12","","","","","","","","","","","","","","","","","",""
"13","","","","","","","","","","","","","","","","","",""
"14","","","","","","","","","","","","","","","","","",""
"15","","","","","","","","","","","","","","","","","",""
"16","","","","","","","","","","","","","","","","","",""
"19","","","","","","","","","","","","","","","","","",""
"20","","","","","","","","","","","","","","","","","",""
"17","","","","","","","","","","","","","","","","","",""
"18","","","","","","","","","","","","","","","","","",""
"21","","","","","","","","","","","","","","","","","",""
